taxonID	acceptedNameUsageID	taxonomicStatus	family	genus	specificEpithet	infraspecificEpithet	scientificName	taxonRank	scientificNameAuthorship	nameAccordingTo	nameAccordingToID	scientificNameID	namePublishedIn	references
kew-5001035	kew-5001036	synonym	Salicaceae	Salix	lanuginosa		Salix lanuginosa	species	Pall.	WCSP (in review)		urn:lsid:ipni.org:names:777995-1		
kew-5001026		doubtful	Salicaceae	Salix	lapczynskii		Salix × lapczynskii	species	Zalewski	WCSP (in review)		urn:lsid:ipni.org:names:777996-1		
kew-5001037	kew-5001038	doubtful	Salicaceae	Salix	lapponica		Salix lapponica	species	St.-Leg.	WCSP (in review)			Ann. Soc. Bot. Lyon, 7: 134, 1880	
kew-5001038		accepted	Salicaceae	Salix	lapponum		Salix lapponum	species	L.	WCSP (in review)		urn:lsid:ipni.org:names:777998-1		
kew-5004631	kew-5001523	synonym	Salicaceae	Salix	lapponum		Salix lapponum	species	Regel & Tiling	WCSP (in review)			Fl. Ajan., 118, 1858	
kew-5004632	kew-5001523	synonym	Salicaceae	Salix	lapponum	ajanensis	Salix lapponum var. ajanensis	variety	Trautv.	WCSP (in review)			Trudy Imp. S.-Peterburgsk. Bot. Sada, 5: 106, 1877	
kew-5004839	kew-5001038	synonym	Salicaceae	Salix	lapponum	daphneola	Salix lapponum var. daphneola	variety	(Tausch) Wimm.	WCSP (in review)			Salic. Eur., 42, 1866	
kew-5004838	kew-5001038	synonym	Salicaceae	Salix	lapponum	marrubiifolia	Salix lapponum var. marrubiifolia	variety	(Tausch) Wimm.	WCSP (in review)			Salic. Eur., 41, 1866	
kew-5004634	kew-5000964	synonym	Salicaceae	Salix	lapponum	trautvetteriana	Salix lapponum var. trautvetteriana	variety	(Anderson) Glehn	WCSP (in review)			Unknown	
kew-5001040		accepted	Salicaceae	Salix	lasiandra		Salix lasiandra	species	Benth.	WCSP (in review)		urn:lsid:ipni.org:names:284532-2		
tro-28300378	kew-5001040	synonym	Salicaceae	Salix	lasiandra	abramsii	Salix lasiandra var. abramsii	variety	C.R. Ball	TRO	28300378	urn:lsid:ipni.org:names:225932-2	Ball CR (1921) Notes on Willows of Sections Pentandrae and Nigrae. Botanical Gazette 72(4): 220-236. doi: 10.1086/332919.	http://doi.org/10.1086/332919
tro-8200110		doubtful	Combretaceae	Terminalia	ulei		Terminalia ulei	species	Engl.	TRO	8200110			
tro-8200170		accepted	Combretaceae	Terminalia	ulexoides		Terminalia ulexoides	species	H. Perrier	TRO	8200170	urn:lsid:ipni.org:names:171449-1		
tro-8200171	tro-8200170	synonym	Combretaceae	Terminalia	ulexoides	aculeata	Terminalia ulexoides var. aculeata	variety	H. Perrier	TRO	8200171		Ann. Inst. Bot.-Géol. Colon. Marseille, 1: 29, t. 7, 29, 1953	
kew-2434181	kew-2733141	doubtful	Combretaceae	Terminalia	undulata		Terminalia undulata	species	Steud.	WCSP (in review)		urn:lsid:ipni.org:names:171450-1		
kew-2434191		doubtful	Combretaceae	Terminalia	urjan		Terminalia urjan	species	Royle	WCSP (in review)		urn:lsid:ipni.org:names:171451-1		
tro-8200158		accepted	Combretaceae	Terminalia	urschii		Terminalia urschii	species	H. Perrier	TRO	8200158		Ann. Inst. Bot.-Géol. Colon. Marseille, 1: 24, 24, 1953	
